Multiple records in test_sequences.fasta, using first record
Multiple records in test_analysis.fasta, using first record
Multiple records in Figure1Figure2_032321.fasta, using first record
Multiple records in Influenza_B_virus_part12.fasta, using first record
Multiple records in Influenza_B_virus_part4.fasta, using first record
Multiple records in Influenza_B_virus_part108.fasta, using first record
Multiple records in Influenza_B_virus_part34.fasta, using first record
Multiple records in Influenza_B_virus_part79.fasta, using first record
Multiple records in Influenza_B_virus_part54.fasta, using first record
Multiple records in Influenza_B_virus_part31.fasta, using first record
Multiple records in Influenza_B_virus_part14.fasta, using first record
Multiple records in Influenza_B_virus_part73.fasta, using first record
Multiple records in Influenza_B_virus_part72.fasta, using first record
Multiple records in Influenza_B_virus_part50.fasta, using first record
Multiple records in Influenza_B_virus_part47.fasta, using first record
Multiple records in Influenza_B_virus_part116.fasta, using first record
Multiple records in Influenza_B_virus_part88.fasta, using first record
Multiple records in Influenza_B_virus_part100.fasta, using first record
Multiple records in Influenza_B_virus_part114.fasta, using first record
Multiple records in Influenza_B_virus_part18.fasta, using first record
Multiple records in Influenza_B_virus_part45.fasta, using first record
Multiple records in Influenza_B_virus_part83.fasta, using first record
Multiple records in Influenza_B_virus_part56.fasta, using first record
Multiple records in Influenza_B_virus_part97.fasta, using first record
Multiple records in Influenza_B_virus_part49.fasta, using first record
Multiple records in Influenza_B_virus_part106.fasta, using first record
Multiple records in Influenza_B_virus_part22.fasta, using first record
Multiple records in Influenza_B_virus_part75.fasta, using first record
Multiple records in Influenza_B_virus_part95.fasta, using first record
Multiple records in Influenza_B_virus_part27.fasta, using first record
Multiple records in Influenza_B_virus_part23.fasta, using first record
Multiple records in Influenza_B_virus_part76.fasta, using first record
Multiple records in Influenza_B_virus_part46.fasta, using first record
Multiple records in Influenza_B_virus_part103.fasta, using first record
Multiple records in Influenza_B_virus_part6.fasta, using first record
Multiple records in Influenza_B_virus_part105.fasta, using first record
Multiple records in Influenza_B_virus_part37.fasta, using first record
Multiple records in Influenza_B_virus_part8.fasta, using first record
Multiple records in Influenza_B_virus_part5.fasta, using first record
Multiple records in Influenza_B_virus_part112.fasta, using first record
Multiple records in Influenza_B_virus_part60.fasta, using first record
Multiple records in Influenza_B_virus_part91.fasta, using first record
Multiple records in Influenza_B_virus_part9.fasta, using first record
Multiple records in Influenza_B_virus_part11.fasta, using first record
Multiple records in Influenza_B_virus_part90.fasta, using first record
Multiple records in Influenza_B_virus_part25.fasta, using first record
Multiple records in Influenza_B_virus_part71.fasta, using first record
Multiple records in Influenza_B_virus_part24.fasta, using first record
Multiple records in Influenza_B_virus_part13.fasta, using first record
Multiple records in Influenza_B_virus_part16.fasta, using first record
Multiple records in Influenza_B_virus_part113.fasta, using first record
Multiple records in Influenza_B_virus_part125.fasta, using first record
Multiple records in Influenza_B_virus_part44.fasta, using first record
Multiple records in Influenza_B_virus_part94.fasta, using first record
Multiple records in Influenza_B_virus_part59.fasta, using first record
Multiple records in Influenza_B_virus_part115.fasta, using first record
Multiple records in Influenza_B_virus_part98.fasta, using first record
Multiple records in Influenza_B_virus_part74.fasta, using first record
Multiple records in Influenza_B_virus_part62.fasta, using first record
Multiple records in Influenza_B_virus_part96.fasta, using first record
Multiple records in Influenza_B_virus_part61.fasta, using first record
Multiple records in Influenza_B_virus_part107.fasta, using first record
Multiple records in Influenza_B_virus_part68.fasta, using first record
Multiple records in Influenza_B_virus_part65.fasta, using first record
Multiple records in Influenza_B_virus_part85.fasta, using first record
Multiple records in Influenza_B_virus_part32.fasta, using first record
Multiple records in Influenza_B_virus_part86.fasta, using first record
Multiple records in Influenza_B_virus_part80.fasta, using first record
Multiple records in Influenza_B_virus_part40.fasta, using first record
Multiple records in Influenza_B_virus_part122.fasta, using first record
Multiple records in Influenza_B_virus_part93.fasta, using first record
Multiple records in Influenza_B_virus_part78.fasta, using first record
Multiple records in Influenza_B_virus_part36.fasta, using first record
Multiple records in Influenza_B_virus_part57.fasta, using first record
Multiple records in Influenza_B_virus_part119.fasta, using first record
Multiple records in Influenza_B_virus_part124.fasta, using first record
Multiple records in Influenza_B_virus_part67.fasta, using first record
Multiple records in Influenza_B_virus_part63.fasta, using first record
Multiple records in Influenza_B_virus_part15.fasta, using first record
Multiple records in Influenza_B_virus_part29.fasta, using first record
Multiple records in Influenza_B_virus_part89.fasta, using first record
Multiple records in Influenza_B_virus_part7.fasta, using first record
Multiple records in Influenza_B_virus_part38.fasta, using first record
Multiple records in Influenza_B_virus_part70.fasta, using first record
Multiple records in Influenza_B_virus_part82.fasta, using first record
Multiple records in Influenza_B_virus_part87.fasta, using first record
Multiple records in Influenza_B_virus_part69.fasta, using first record
Multiple records in Influenza_B_virus_part123.fasta, using first record
Multiple records in Influenza_B_virus_part111.fasta, using first record
Multiple records in Influenza_B_virus_part1.fasta, using first record
Multiple records in Influenza_B_virus_part2.fasta, using first record
Multiple records in Influenza_B_virus_part33.fasta, using first record
Multiple records in Influenza_B_virus_part120.fasta, using first record
Multiple records in Influenza_B_virus_part35.fasta, using first record
Multiple records in Influenza_B_virus_part26.fasta, using first record
Multiple records in Influenza_B_virus_part20.fasta, using first record
Multiple records in Influenza_B_virus_part92.fasta, using first record
Multiple records in Influenza_B_virus_part126.fasta, using first record
Multiple records in Influenza_B_virus_part77.fasta, using first record
Multiple records in Influenza_B_virus_part10.fasta, using first record
Multiple records in Influenza_B_virus_part39.fasta, using first record
Multiple records in Influenza_B_virus_part117.fasta, using first record
Multiple records in Influenza_B_virus_part101.fasta, using first record
Multiple records in Influenza_B_virus_part52.fasta, using first record
Multiple records in Influenza_B_virus_part109.fasta, using first record
Multiple records in Influenza_B_virus_part99.fasta, using first record
Multiple records in Influenza_B_virus_part121.fasta, using first record
Multiple records in Influenza_B_virus_part66.fasta, using first record
Multiple records in Influenza_B_virus_part51.fasta, using first record
Multiple records in Influenza_B_virus_part43.fasta, using first record
Multiple records in Influenza_B_virus_part102.fasta, using first record
Multiple records in Influenza_B_virus_part30.fasta, using first record
Multiple records in Influenza_B_virus_part19.fasta, using first record
Multiple records in Influenza_B_virus_part118.fasta, using first record
Multiple records in Influenza_B_virus_part48.fasta, using first record
Multiple records in Influenza_B_virus_part41.fasta, using first record
Multiple records in Influenza_B_virus_part28.fasta, using first record
Multiple records in Influenza_B_virus_part58.fasta, using first record
Multiple records in Influenza_B_virus_part21.fasta, using first record
Multiple records in Influenza_B_virus_part84.fasta, using first record
Multiple records in Influenza_B_virus_part17.fasta, using first record
Multiple records in Influenza_B_virus_part55.fasta, using first record
Multiple records in Influenza_B_virus_part53.fasta, using first record
Multiple records in Influenza_B_virus_part110.fasta, using first record
Multiple records in Influenza_B_virus_part42.fasta, using first record
Multiple records in Influenza_B_virus_part81.fasta, using first record
Multiple records in Influenza_B_virus_part64.fasta, using first record
Multiple records in Influenza_B_virus_part104.fasta, using first record
Multiple records in Influenza_B_virus_part3.fasta, using first record
Multiple records in vector_db.fasta, using first record
Multiple records in promoter_db.fasta, using first record
Multiple records in unique_sequences.fasta, using first record
Multiple records in LKUA01_part202.fasta, using first record
Multiple records in AGQN01_part265.fasta, using first record
Multiple records in AGQN01_part12.fasta, using first record
Multiple records in AGQN01_part319.fasta, using first record
Multiple records in LKUA01_part20.fasta, using first record
Multiple records in LKUA01_part16.fasta, using first record
Multiple records in LKUB01_part7.fasta, using first record
Multiple records in LKUB01_part63.fasta, using first record
Multiple records in AGQN01_part119.fasta, using first record
Multiple records in AGQN01_part52.fasta, using first record
Multiple records in LKUA01_part230.fasta, using first record
Multiple records in pUC19_part128.fasta, using first record
Multiple records in LKUA01_part57.fasta, using first record
Multiple records in pUC19_part166.fasta, using first record
Multiple records in LKUA01_part61.fasta, using first record
Multiple records in LKUA01_part124.fasta, using first record
Multiple records in pUC19_part156.fasta, using first record
Multiple records in LKUA01_part229.fasta, using first record
Multiple records in LKUA01_part252.fasta, using first record
Multiple records in pUC19_part64.fasta, using first record
Multiple records in pUC19_part19.fasta, using first record
Multiple records in AGQN01_part159.fasta, using first record
Multiple records in AGQN01_part273.fasta, using first record
Multiple records in LKUB01_part36.fasta, using first record
Multiple records in AGQN01_part249.fasta, using first record
Multiple records in LKUA01_part111.fasta, using first record
Multiple records in LKUB01_part40.fasta, using first record
Multiple records in LKUB01_part152.fasta, using first record
Multiple records in LKUB01_part8.fasta, using first record
Multiple records in AGQN01_part258.fasta, using first record
Multiple records in AGQN01_part336.fasta, using first record
Multiple records in LKUA01_part180.fasta, using first record
Multiple records in AGQN01_part290.fasta, using first record
Multiple records in LKUB01_part92.fasta, using first record
Multiple records in AGQN01_part324.fasta, using first record
Multiple records in pUC19_part94.fasta, using first record
Multiple records in pUC19_part25.fasta, using first record
Multiple records in AGQN01_part90.fasta, using first record
Multiple records in LKUB01_part19.fasta, using first record
Multiple records in LKUA01_part251.fasta, using first record
Multiple records in LKUB01_part41.fasta, using first record
Multiple records in LKUB01_part67.fasta, using first record
Multiple records in AGQN01_part190.fasta, using first record
Multiple records in AGQN01_part327.fasta, using first record
Multiple records in LKUB01_part172.fasta, using first record
Multiple records in AGQN01_part17.fasta, using first record
Multiple records in LKUA01_part172.fasta, using first record
Multiple records in pUC19_part85.fasta, using first record
Multiple records in LKUA01_part167.fasta, using first record
Multiple records in AGQN01_part147.fasta, using first record
Multiple records in LKUB01_part159.fasta, using first record
Multiple records in LKUA01_part14.fasta, using first record
Multiple records in LKUB01_part12.fasta, using first record
Multiple records in MNPR01_part2.fasta, using first record
Multiple records in pBluescript_part7.fasta, using first record
Multiple records in pUC19_part93.fasta, using first record
Multiple records in AGQN01_part43.fasta, using first record
Multiple records in AGQN01_part320.fasta, using first record
Multiple records in LKUA01_part107.fasta, using first record
Multiple records in AGQN01_part5.fasta, using first record
Multiple records in LKUB01_part62.fasta, using first record
Multiple records in pBluescript_part12.fasta, using first record
Multiple records in LKUA01_part215.fasta, using first record
Multiple records in AGQN01_part137.fasta, using first record
Multiple records in LKUA01_part4.fasta, using first record
Multiple records in AGQN01_part322.fasta, using first record
Multiple records in pUC19_part111.fasta, using first record
Multiple records in pUC19_part4.fasta, using first record
Multiple records in LKUB01_part73.fasta, using first record
Multiple records in LKUA01_part274.fasta, using first record
Multiple records in AGQN01_part318.fasta, using first record
